pair_id,part_id,family,prompt_level,provider,model,reference_path,generated_path,generated_mesh_path,prompt_text,label,valid_cad_rate,alignment_quality_icp_fitness,alignment_inlier_rmse_mm,chamfer_distance_mm,edge_chamfer_mm,hausdorff_95p_mm,hausdorff_99p_mm,point_to_surface_mean_mm,point_to_surface_max_mm,volume_diff_percent,signed_volume_diff_percent,surface_area_diff_percent,bbox_error_max_mm,bbox_error_axis_x_mm,bbox_error_axis_y_mm,bbox_error_axis_z_mm,obb_error_max_mm,centroid_offset_mm,inertia_tensor_error,mass_properties_error,component_count_match,watertight_manifold_pass,self_intersection_count,euler_genus_match,void_hole_count_match,feature_count_match,critical_dimension_error_mm,tolerance_band_pass_rate,feature_edge_distance_mm,normal_consistency,normal_angle_error_deg,curvature_distribution_error,cross_section_iou,slice_contour_distance_mm,voxel_iou,occupancy_precision,occupancy_recall,occupancy_f1,emd_distance,silhouette_iou,render_ssim,render_lpips,registration_failure_rate,composite_weighted_score,pass_rate,quality_score_0_100,overall_pass,metrics_error
manifold_block_0001__openai,manifold_block_0001,manifold_block,L3,openai,gpt-5.2,./benchmark_v1/references_isidor_all/manifold_block/manifold_block_0001.step,./.labeling_pairs_runs_keydims/openai/manifold_block_0001/generated.step,./.labeling_pairs_runs_keydims/openai/manifold_block_0001/generated.stl,"Create a single connected mechanical CAD part.

Part identity:
manifold_block (manifold_block_0001)

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face unless specified otherwise.
- +Z is upward.

Key dimensions:
- Lx=126, Ly=96, Lz=68, z_through_d=16, x_through_d=16, y_through_d=16, blind_d=16, blind_depth=22

Design features:
- Block with intersecting orthogonal channels (X/Y/Z through holes) plus one blind top port.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions and feature counts exactly.",negative,1.0,0.6635,1.8868396666903475,1.8127121472889134,2.111694036697695,3.2014795028371292,4.327775050963409,1.740473512201309,8.035675423735386,0.5775201219794414,0.5775201219794414,1.6580609428629298,0.4310535407038003,0.2618916203734045,0.4310535407038003,0.26752838574952875,0.4310535407038003,0.2680769170852384,0.005367059848530644,0.003461090530893844,1.0,1.0,0.0,1.0,1.0,0.8406349206349206,0.3201578489422445,0.0,0.12472097924733619,0.9610956773408322,4.827938695878396,0.028788278775675222,0.02116645167267932,4.212350226455938,0.9690487027765134,0.9883936861652739,0.9802025782688766,0.9842810910772076,0.09695612660203196,0.11979278787877327,0.13014337211158225,0.8698566278884178,1.0,0.6880425218084942,0.4318181818181818,36.629834352232415,False,
manifold_block_0001__anthropic,manifold_block_0001,manifold_block,L3,anthropic,claude-opus-4-1-20250805,./benchmark_v1/references_isidor_all/manifold_block/manifold_block_0001.step,./.labeling_pairs_runs_keydims/anthropic/manifold_block_0001/generated.step,./.labeling_pairs_runs_keydims/anthropic/manifold_block_0001/generated.stl,"Create a single connected mechanical CAD part.

Part identity:
manifold_block (manifold_block_0001)

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face unless specified otherwise.
- +Z is upward.

Key dimensions:
- Lx=126, Ly=96, Lz=68, z_through_d=16, x_through_d=16, y_through_d=16, blind_d=16, blind_depth=22

Design features:
- Block with intersecting orthogonal channels (X/Y/Z through holes) plus one blind top port.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions and feature counts exactly.",negative,1.0,0.64475,1.985271387783296,2.6476402671389567,12.130007341564275,10.22812702305672,21.978514884741518,1.807022378375496,7.925615186685148,5.650115155809189,5.650115155809189,13.927761215253263,0.2191718339109343,0.15413019821927776,0.2191718339109343,0.0759278521530149,0.2191718339109343,0.32148786101857707,0.030477645841714484,0.016171302669413242,1.0,1.0,0.0,0.0,0.0,0.1676190476190476,0.14974329476107565,0.3333333333333333,0.08553125844768408,0.941789735443525,5.695253090063323,0.05002694208599971,0.02045464976883807,5.245997904491028,0.82296867907399,0.9831887201735358,0.8347145488029466,0.9028884462151395,0.103133129858945,0.11074517871139711,0.10828005634188531,0.8917199436581147,1.0,0.5199221543312443,0.25,24.74956733641685,False,
threaded_parts_male_0002__openai,threaded_parts_male_0002,threaded_parts_male,L3,openai,gpt-5.2,./benchmark_v1/references_isidor_all/threaded_parts_male/threaded_parts_male_0002.step,./.labeling_pairs_runs_keydims/openai/threaded_parts_male_0002/generated.step,./.labeling_pairs_runs_keydims/openai/threaded_parts_male_0002/generated.stl,"Create a single connected mechanical CAD part.

Part identity:
threaded_parts_male (threaded_parts_male_0002)

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face unless specified otherwise.
- +Z is upward.

Key dimensions:
- length=68, pitch=4, core_d=18, thread_depth=1.0619, thread_band_w=1.8, fallback_rings_used=0

Design features:
- Male threaded-like shaft: core cylinder with external thread-form relief (or robust ringed fallback), chamfered ends.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions and feature counts exactly.",negative,1.0,1.0,0.9891314243574879,0.9544410654366353,4.489739707235884,1.267162613498751,1.4033094154256227,0.9734704183404592,1.7097525649282492,16.214296452878393,16.214296452878393,17.242785806779793,2.149554384977286,0.5542530506997707,2.149554384977286,0.5825492264474974,1.769303367273512,0.07531629887643561,0.11760455925379258,0.0593180471522503,0.0,1.0,0.0,0.0,0.0,0.4632352941176471,1.0954522207081847,0.0,8.199501070550399,0.8373196544359283,28.47957657250728,0.02866237033774688,0.007393066141873393,0.9402050664592371,0.9,0.9,1.0,0.9473684210526316,0.0956726231770966,0.03851018819135103,0.13211511645885,0.86788488354115,0.0,0.6763573715168024,0.22727272727272727,23.515879237155534,False,
threaded_parts_male_0002__anthropic,threaded_parts_male_0002,threaded_parts_male,L3,anthropic,claude-opus-4-1-20250805,./benchmark_v1/references_isidor_all/threaded_parts_male/threaded_parts_male_0002.step,./.labeling_pairs_runs_keydims/anthropic/threaded_parts_male_0002/generated.step,./.labeling_pairs_runs_keydims/anthropic/threaded_parts_male_0002/generated.stl,"Create a single connected mechanical CAD part.

Part identity:
threaded_parts_male (threaded_parts_male_0002)

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face unless specified otherwise.
- +Z is upward.

Key dimensions:
- length=68, pitch=4, core_d=18, thread_depth=1.0619, thread_band_w=1.8, fallback_rings_used=0

Design features:
- Male threaded-like shaft: core cylinder with external thread-form relief (or robust ringed fallback), chamfered ends.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions and feature counts exactly.",negative,1.0,1.0,0.8259709913928188,0.6966207863891699,4.7392602302432225,1.2354328422642928,1.3655961961032923,0.7453345010046483,1.8356185493093733,9.160634169070562,9.160634169070562,39.221689118136084,2.1607358266444834,0.5987022987647137,2.1607358266444834,0.015763036006518405,1.5475079111830468,0.13511864233370516,0.07475277402955452,0.038301682187605414,0.0,1.0,0.0,0.0,0.0,0.8513513513513513,0.9250670538052385,0.3333333333333333,8.877421345274115,0.6853245620555751,30.817594728881485,0.19875859804763085,0.01035117454653583,0.6700450144199604,0.8994413407821229,0.9044943820224719,0.9938271604938271,0.9470588235294117,0.06334658445051064,0.038186671274516,0.12261742307592001,0.87738257692408,0.0,0.6997530604705109,0.25,27.239169960324862,False,
threaded_parts_female_0003__openai,threaded_parts_female_0003,threaded_parts_female,L3,openai,gpt-5.2,./benchmark_v1/references_isidor_all/threaded_parts_female/threaded_parts_female_0003.step,./.labeling_pairs_runs_keydims/openai/threaded_parts_female_0003/generated.step,./.labeling_pairs_runs_keydims/openai/threaded_parts_female_0003/generated.stl,"Create a single connected mechanical CAD part.

Part identity:
threaded_parts_female (threaded_parts_female_0003)

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face unless specified otherwise.
- +Z is upward.

Key dimensions:
- length=48, pitch=4, outer_d=42, bore_d=18, thread_depth=0.5076, thread_band_w=1.68

Design features:
- Female threaded-like sleeve: outer cylinder, through bore, internal thread-form helical groove.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions and feature counts exactly.",negative,1.0,0.9995,0.7774372610683274,0.7261057161444774,5.781110327945043,1.3048330021306294,1.5783835416586027,0.7256954924110999,2.437061323295978,0.048797826623908455,0.048797826623908455,0.9120015044772455,0.03226772940163869,0.0108772345159025,0.03226772940163869,0.024357343533324638,2.2729813179557112,0.04265594104589888,0.0003390467125964445,0.00044883021439241544,1.0,1.0,0.0,1.0,1.0,0.06576200417536535,0.02250076915028861,1.0,0.31042745739884003,0.9784092475836823,3.6224144831080864,0.20736902892366726,0.026302246065618092,1.1372788945351715,0.9866989117291415,1.0,0.9866989117291415,0.9933049300060863,0.08877133375642086,0.1557199116478198,0.15515156121341764,0.8448484387865823,1.0,0.9091368441093903,0.6363636363636364,59.569848793127974,False,
threaded_parts_female_0003__anthropic,threaded_parts_female_0003,threaded_parts_female,L3,anthropic,claude-opus-4-1-20250805,./benchmark_v1/references_isidor_all/threaded_parts_female/threaded_parts_female_0003.step,./.labeling_pairs_runs_keydims/anthropic/threaded_parts_female_0003/generated.step,./.labeling_pairs_runs_keydims/anthropic/threaded_parts_female_0003/generated.stl,"Create a single connected mechanical CAD part.

Part identity:
threaded_parts_female (threaded_parts_female_0003)

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face unless specified otherwise.
- +Z is upward.

Key dimensions:
- length=48, pitch=4, outer_d=42, bore_d=18, thread_depth=0.5076, thread_band_w=1.68

Design features:
- Female threaded-like sleeve: outer cylinder, through bore, internal thread-form helical groove.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions and feature counts exactly.",negative,1.0,0.9995,0.8038358284870665,0.7335067295656328,4.380666614504218,1.326774340597323,1.597713827143011,0.7402095583888346,2.680870467214802,0.15653879426811035,0.15653879426811035,6.584994624529364,0.0888637299995807,0.0888637299995807,0.010915157589224123,0.07922137782428251,3.098922288716224,0.029511343007225313,0.0010696358032496506,0.0007280552395285599,1.0,1.0,0.0,1.0,1.0,0.1920994585923401,0.05966675513769578,1.0,7.8910448739735815,0.9274757035074794,8.245959893028886,0.5306334261231538,0.030979282275031415,1.1689260525291976,0.976303317535545,0.9797859690844233,0.9963724304715841,0.9880095923261392,0.09200545882861558,0.14241173090246537,0.15473880911496402,0.845261190885036,1.0,0.9024335313055651,0.5454545454545454,54.05025208178238,False,
keyed_shaft_hub_0004__openai,keyed_shaft_hub_0004,keyed_shaft_hub,L3,openai,gpt-5.2,./benchmark_v1/references_isidor_all/keyed_shaft_hub/keyed_shaft_hub_0004.step,./.labeling_pairs_runs_keydims/openai/keyed_shaft_hub_0004/generated.step,./.labeling_pairs_runs_keydims/openai/keyed_shaft_hub_0004/generated.stl,"Create a single connected mechanical CAD part.

Part identity:
keyed_shaft_hub (keyed_shaft_hub_0004)

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face unless specified otherwise.
- +Z is upward.

Key dimensions:
- shaft_d=24, shaft_l=122, hub_d=52, hub_l=26, key_w=8, key_d=4

Design features:
- Coaxial shaft + hub with one longitudinal keyway slot for torque transmission fit testing.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions and feature counts exactly.",negative,1.0,0.306,8.393743145787756,6.585382997233633,12.65356930913085,14.654977722855707,18.19622416919502,6.512664074536506,18.296039326171915,8.130070684202604,8.130070684202604,10.340046095482737,0.06639397425880134,0.0016116981840141875,0.05698519205576247,0.06639397425880134,0.17859694110543956,3.9247963329733846,0.7026227434155022,0.3650879919946366,1.0,1.0,0.0,1.0,1.0,0.6349614395886889,0.041663621499525995,1.0,11.403173899944214,0.5747912801754417,40.43674482880607,0.007846245384811065,0.018543476661108192,5.7163112759002175,0.19162790697674417,0.32062256809338524,0.3226311667971809,0.32162373145979706,0.11358399404598411,0.09767010383772978,0.28455624852280764,0.7154437514771923,1.0,0.2947913675218592,0.3181818181818182,29.57903872340027,False,
keyed_shaft_hub_0004__anthropic,keyed_shaft_hub_0004,keyed_shaft_hub,L3,anthropic,claude-opus-4-1-20250805,./benchmark_v1/references_isidor_all/keyed_shaft_hub/keyed_shaft_hub_0004.step,./.labeling_pairs_runs_keydims/anthropic/keyed_shaft_hub_0004/generated.step,./.labeling_pairs_runs_keydims/anthropic/keyed_shaft_hub_0004/generated.stl,"Create a single connected mechanical CAD part.

Part identity:
keyed_shaft_hub (keyed_shaft_hub_0004)

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face unless specified otherwise.
- +Z is upward.

Key dimensions:
- shaft_d=24, shaft_l=122, hub_d=52, hub_l=26, key_w=8, key_d=4

Design features:
- Coaxial shaft + hub with one longitudinal keyway slot for torque transmission fit testing.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions and feature counts exactly.",negative,1.0,0.304,8.390847479706807,6.605281262471573,12.71438578894827,14.586406964459027,18.131772322349708,6.512256110899672,18.269995412533902,8.130070684204643,8.130070684204643,10.340046095481675,0.28464620499764237,0.14377020998411183,0.12961858036276652,0.28464620499764237,4.294430928518338,4.0300505600655745,0.7025852487336527,0.36543870268343337,1.0,1.0,0.0,1.0,1.0,0.6349614395886889,0.18601166511484024,0.0,11.472059049420217,0.5881155184304061,40.44460938310024,0.007846245384811129,0.029885762808957442,5.644725194181617,0.17960496095544326,0.30286599535243997,0.30618637431480034,0.3045171339563863,0.10372821503673571,0.07071808716648713,0.2696787957387277,0.7303212042612723,1.0,0.2851048399206156,0.25,22.276374521768535,False,
counterbore_countersink_plate_0005__openai,counterbore_countersink_plate_0005,counterbore_countersink_plate,L3,openai,gpt-5.2,./benchmark_v1/references_isidor_all/counterbore_countersink_plate/counterbore_countersink_plate_0005.step,./.labeling_pairs_runs_keydims/openai/counterbore_countersink_plate_0005/generated.step,./.labeling_pairs_runs_keydims/openai/counterbore_countersink_plate_0005/generated.stl,"Create a single connected mechanical CAD part.

Part identity:
counterbore_countersink_plate (counterbore_countersink_plate_0005)

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face unless specified otherwise.
- +Z is upward.

Key dimensions:
- Lx=152, Ly=72, Lz=12, cbore_d=6, cbore_head_d=12, cbore_head_h=6, csk_d=10, csk_head_d=22, csk_angle=100, through_d=12

Design features:
- Plate with mixed hole standards: counterbore holes, countersink holes, plus central through hole.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions and feature counts exactly.",negative,1.0,0.80775,1.9745317870387968,1.5984800655916875,7.896290198108709,4.769731746991778,6.349851861502432,1.5859179552606901,6.428329832647688,12.67025853866309,12.67025853866309,2.1158349169390895,0.6502842592409497,0.15820400996642547,0.3438698142695671,0.6502842592409497,0.6502842592414773,0.23436240630056396,0.10680051995719193,0.05409521107998952,1.0,1.0,0.0,0.0,0.0,0.6167883211678832,0.38411936115898077,0.0,8.177870524590634,0.8053496330987423,18.66354908784559,0.04487986199111649,0.011551480135977007,10.647405147487284,0.7677108433734939,0.855531686358754,0.8820598006644518,0.8685932388222464,0.10280425481773962,0.03622687545947928,0.17909318199369442,0.8209068180063056,1.0,0.5230547387240023,0.1590909090909091,15.704485586540251,False,
counterbore_countersink_plate_0005__anthropic,counterbore_countersink_plate_0005,counterbore_countersink_plate,L3,anthropic,claude-opus-4-1-20250805,./benchmark_v1/references_isidor_all/counterbore_countersink_plate/counterbore_countersink_plate_0005.step,./.labeling_pairs_runs_keydims/anthropic/counterbore_countersink_plate_0005/generated.step,./.labeling_pairs_runs_keydims/anthropic/counterbore_countersink_plate_0005/generated.stl,"Create a single connected mechanical CAD part.

Part identity:
counterbore_countersink_plate (counterbore_countersink_plate_0005)

Units and coordinate frame:
- Units: millimeters.
- Coordinate system: right-handed XYZ.
- Origin at center of bottom face unless specified otherwise.
- +Z is upward.

Key dimensions:
- Lx=152, Ly=72, Lz=12, cbore_d=6, cbore_head_d=12, cbore_head_h=6, csk_d=10, csk_head_d=22, csk_angle=100, through_d=12

Design features:
- Plate with mixed hole standards: counterbore holes, countersink holes, plus central through hole.

Topology/output constraints:
- Single connected solid body.
- Preserve all stated dimensions and feature counts exactly.",negative,1.0,0.83325,1.8556582952844127,1.4840837258297745,8.808385871582486,3.8421222174999237,5.809276908535053,1.5198255915314491,6.786141270379846,3.922974921035318,3.922974921035318,3.07862942578593,0.15212672365787938,0.02906067434591364,0.06309999040553294,0.15212672365787938,0.15212672365802504,0.20261089835350526,0.03720917750024475,0.019205387611969386,1.0,1.0,0.0,0.0,0.0,0.5348101265822784,0.08142912946977532,0.6666666666666666,9.475236068326177,0.8658584071197131,13.800892415921247,0.0003453713189858564,0.0075,11.285544798983363,0.821198613174839,0.8861571352218065,0.9180509413067552,0.9018221376121838,0.0765216609353455,0.057458121701650065,0.21542116133584735,0.7845788386641527,1.0,0.6063616214691504,0.25,27.162925491318934,False,
